TERYT Gminy,Gmina,Powiat,Województwo,Nr okręgu,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona",Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
141505.0,gm. Kadzidło,ostrołęcki,mazowieckie,18,19,19,7970.0,8486.0,2298.0,5672.0,0.0,5672.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5671.0,0.0,2.0,5669.0,164.0,97.0,54.0,13.0,5505.0,122.0,688.0,247.0,2979.0,646.0,656.0,151.0,,9.0,,7.0,
141506.0,gm. Lelis,ostrołęcki,mazowieckie,18,9,9,6841.0,7322.0,1701.0,5140.0,1.0,5141.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,5141.0,1.0,0.0,5141.0,151.0,76.0,56.0,19.0,4990.0,104.0,650.0,228.0,2690.0,543.0,639.0,116.0,,13.0,,7.0,
141507.0,gm. Łyse,ostrołęcki,mazowieckie,18,12,12,5848.0,6242.0,1922.0,3926.0,1.0,3927.0,6.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,3925.0,0.0,1.0,3924.0,134.0,69.0,53.0,12.0,3790.0,61.0,484.0,225.0,2134.0,407.0,385.0,76.0,,7.0,,11.0,
141508.0,gm. Myszyniec,ostrołęcki,mazowieckie,18,14,14,7365.0,7746.0,2363.0,5002.0,0.0,5002.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,0.0,0.0,5002.0,175.0,81.0,82.0,12.0,4827.0,79.0,625.0,199.0,2808.0,499.0,463.0,142.0,,8.0,,4.0,
141509.0,gm. Olszewo-Borki,ostrołęcki,mazowieckie,18,8,8,7715.0,8207.0,1713.0,6002.0,3.0,6005.0,12.0,51.0,2.0,0.0,0.0,0.0,1.0,1.0,6002.0,1.0,0.0,6002.0,157.0,77.0,66.0,14.0,5845.0,146.0,865.0,334.0,2846.0,565.0,928.0,140.0,,15.0,,6.0,
141510.0,gm. Rzekuń,ostrołęcki,mazowieckie,18,16,16,9111.0,9441.0,1860.0,7251.0,3.0,7254.0,3.0,60.0,2.0,0.0,0.0,0.0,0.0,2.0,7253.0,2.0,3.0,7250.0,185.0,103.0,43.0,39.0,7065.0,127.0,1098.0,353.0,3165.0,652.0,1530.0,107.0,,20.0,,13.0,
141511.0,gm. Troszyn,ostrołęcki,mazowieckie,18,7,7,3393.0,3634.0,841.0,2552.0,3.0,2555.0,10.0,25.0,3.0,0.0,0.0,0.0,0.0,3.0,2555.0,3.0,0.0,2555.0,55.0,27.0,26.0,2.0,2500.0,37.0,341.0,93.0,1587.0,169.0,235.0,29.0,,6.0,,3.0,
141601.0,m. Ostrów Mazowiecka,ostrowski,mazowieckie,18,13,13,15916.0,16737.0,3767.0,12086.0,2.0,12088.0,39.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,12116.0,0.0,1.0,12115.0,144.0,62.0,66.0,16.0,11971.0,174.0,1977.0,772.0,4828.0,860.0,3100.0,234.0,,14.0,,12.0,
141602.0,gm. Andrzejewo,ostrowski,mazowieckie,18,5,5,2947.0,3135.0,671.0,2276.0,0.0,2276.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2276.0,0.0,0.0,2276.0,52.0,17.0,31.0,4.0,2224.0,35.0,282.0,69.0,1507.0,180.0,133.0,10.0,,8.0,,0.0,
141603.0,gm. Boguty-Pianki,ostrowski,mazowieckie,18,5,5,1829.0,1934.0,405.0,1424.0,1.0,1425.0,13.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1425.0,1.0,0.0,1425.0,35.0,15.0,18.0,2.0,1390.0,20.0,143.0,37.0,1005.0,103.0,57.0,20.0,,5.0,,0.0,
141604.0,gm. Brok,ostrowski,mazowieckie,18,3,3,2023.0,2300.0,359.0,1664.0,0.0,1664.0,12.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.0,0.0,0.0,1664.0,39.0,19.0,17.0,3.0,1625.0,34.0,263.0,92.0,784.0,113.0,320.0,16.0,,2.0,,1.0,
141605.0,gm. Małkinia Górna,ostrowski,mazowieckie,18,15,15,8254.0,8767.0,1937.0,6316.0,2.0,6318.0,19.0,62.0,2.0,0.0,0.0,0.0,0.0,2.0,6316.0,2.0,1.0,6315.0,194.0,105.0,78.0,11.0,6121.0,93.0,808.0,262.0,3589.0,440.0,796.0,111.0,,10.0,,12.0,
141606.0,gm. Nur,ostrowski,mazowieckie,18,5,5,1962.0,2082.0,382.0,1580.0,0.0,1580.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,1580.0,43.0,22.0,19.0,2.0,1537.0,14.0,176.0,53.0,1024.0,111.0,145.0,11.0,,2.0,,1.0,
141607.0,gm. Ostrów Mazowiecka,ostrowski,mazowieckie,18,24,24,9264.0,9812.0,2393.0,6871.0,0.0,6871.0,11.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,6869.0,0.0,6.0,6863.0,173.0,92.0,55.0,26.0,6690.0,106.0,977.0,264.0,3682.0,571.0,920.0,134.0,,14.0,,22.0,
141608.0,gm. Stary Lubotyń,ostrowski,mazowieckie,18,7,7,2577.0,2784.0,689.0,1888.0,0.0,1888.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,0.0,1888.0,40.0,25.0,13.0,2.0,1848.0,28.0,264.0,42.0,1226.0,154.0,94.0,34.0,,3.0,,3.0,
141609.0,gm. Szulborze Wielkie,ostrowski,mazowieckie,18,2,2,1184.0,1270.0,107.0,1077.0,0.0,1077.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,0.0,0.0,1077.0,48.0,21.0,24.0,3.0,1029.0,18.0,193.0,35.0,626.0,77.0,57.0,12.0,,5.0,,6.0,
141610.0,gm. Wąsewo,ostrowski,mazowieckie,18,8,8,2985.0,3284.0,656.0,2329.0,0.0,2329.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2329.0,0.0,0.0,2329.0,72.0,52.0,19.0,1.0,2257.0,17.0,585.0,192.0,1149.0,148.0,137.0,21.0,,4.0,,4.0,
141611.0,gm. Zaręby Kościelne,ostrowski,mazowieckie,18,5,5,2556.0,2774.0,608.0,1948.0,0.0,1948.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0,0.0,1.0,1947.0,60.0,25.0,9.0,26.0,1887.0,26.0,222.0,75.0,1241.0,145.0,141.0,29.0,,4.0,,4.0,
141701.0,m. Józefów,otwocki,mazowieckie,20,9,9,14735.0,15807.0,1019.0,13717.0,35.0,13752.0,17.0,613.0,35.0,2.0,0.0,1.0,0.0,32.0,13749.0,32.0,8.0,13741.0,85.0,41.0,44.0,0.0,13656.0,229.0,2204.0,960.0,3795.0,1054.0,5179.0,235.0,,,,,
141702.0,m. Otwock,otwocki,mazowieckie,20,30,30,31920.0,34321.0,4069.0,27882.0,13.0,27895.0,52.0,749.0,13.0,0.0,0.0,0.0,0.0,13.0,27883.0,13.0,34.0,27849.0,302.0,171.0,131.0,0.0,27547.0,620.0,3958.0,1855.0,9495.0,1881.0,9321.0,417.0,,,,,
141703.0,gm. Celestynów,otwocki,mazowieckie,20,12,12,8699.0,9085.0,1200.0,7498.0,2.0,7500.0,9.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0,7499.0,1.0,0.0,7499.0,147.0,79.0,68.0,0.0,7352.0,214.0,1165.0,401.0,3254.0,621.0,1509.0,188.0,,,,,
141704.0,gm. Karczew,otwocki,mazowieckie,20,14,14,11444.0,12303.0,1469.0,9974.0,9.0,9983.0,20.0,114.0,7.0,0.0,0.0,0.0,0.0,7.0,9982.0,7.0,2.0,9980.0,152.0,82.0,70.0,0.0,9828.0,247.0,1542.0,519.0,4148.0,673.0,2568.0,131.0,,,,,
141705.0,gm. Kołbiel,otwocki,mazowieckie,20,7,7,5821.0,6363.0,797.0,5024.0,0.0,5024.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,5025.0,0.0,1.0,5024.0,88.0,51.0,37.0,0.0,4936.0,137.0,763.0,213.0,2600.0,367.0,751.0,105.0,,,,,
141706.0,gm. Osieck,otwocki,mazowieckie,20,5,5,2654.0,2887.0,336.0,2318.0,0.0,2318.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2318.0,0.0,5.0,2313.0,58.0,27.0,31.0,0.0,2255.0,71.0,274.0,106.0,1306.0,164.0,266.0,68.0,,,,,
141707.0,gm. Sobienie-Jeziory,otwocki,mazowieckie,20,7,7,4630.0,5020.0,663.0,3965.0,3.0,3968.0,3.0,59.0,2.0,0.0,0.0,0.0,0.0,2.0,3965.0,2.0,1.0,3964.0,60.0,27.0,33.0,0.0,3904.0,174.0,754.0,177.0,1824.0,252.0,640.0,83.0,,,,,
141708.0,gm. Wiązowna,otwocki,mazowieckie,20,22,22,10702.0,11235.0,1108.0,9595.0,0.0,9595.0,12.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,9595.0,0.0,2.0,9593.0,122.0,58.0,64.0,0.0,9471.0,300.0,1453.0,582.0,3240.0,769.0,2934.0,193.0,,,,,
141801.0,gm. Góra Kalwaria,piaseczyński,mazowieckie,20,19,19,19935.0,21106.0,3415.0,16523.0,19.0,16542.0,8.0,490.0,19.0,2.0,0.0,0.0,0.0,17.0,16534.0,17.0,6.0,16528.0,284.0,154.0,130.0,0.0,16244.0,395.0,2415.0,1105.0,5710.0,1183.0,5132.0,304.0,,,,,
141802.0,gm. Konstancin-Jeziorna,piaseczyński,mazowieckie,20,25,25,19077.0,19703.0,3286.0,15789.0,22.0,15811.0,45.0,1032.0,16.0,2.0,0.0,0.0,0.0,14.0,15804.0,14.0,7.0,15797.0,170.0,91.0,79.0,0.0,15627.0,232.0,1911.0,1169.0,4729.0,810.0,6565.0,211.0,,,,,
141803.0,gm. Lesznowola,piaseczyński,mazowieckie,20,16,16,22183.0,23995.0,1152.0,20979.0,2.0,20981.0,14.0,485.0,1.0,0.0,0.0,0.0,0.0,1.0,20981.0,1.0,17.0,20964.0,148.0,65.0,83.0,0.0,20816.0,399.0,3718.0,1735.0,4378.0,1616.0,8665.0,305.0,,,,,
141804.0,gm. Piaseczno,piaseczyński,mazowieckie,20,46,46,59612.0,64800.0,4053.0,55540.0,23.0,55563.0,64.0,2037.0,21.0,3.0,0.0,0.0,0.0,18.0,55562.0,18.0,38.0,55524.0,392.0,180.0,212.0,0.0,55132.0,937.0,8474.0,4420.0,12586.0,3474.0,24449.0,792.0,,,,,
141805.0,gm. Prażmów,piaseczyński,mazowieckie,20,9,9,8724.0,9399.0,1008.0,7714.0,6.0,7720.0,4.0,87.0,5.0,2.0,0.0,0.0,0.0,3.0,7721.0,3.0,12.0,7709.0,121.0,62.0,59.0,0.0,7588.0,166.0,1195.0,530.0,2405.0,585.0,2588.0,119.0,,,,,
141806.0,gm. Tarczyn,piaseczyński,mazowieckie,20,9,9,8535.0,9327.0,1012.0,7523.0,7.0,7530.0,15.0,235.0,7.0,0.0,0.0,0.0,0.0,7.0,7529.0,7.0,4.0,7525.0,133.0,63.0,70.0,0.0,7392.0,171.0,1081.0,442.0,3005.0,582.0,2003.0,108.0,,,,,
141901.0,gm. Bielsk,płocki,mazowieckie,16,7,7,6345.0,6899.0,1550.0,4795.0,0.0,4795.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4795.0,0.0,0.0,4795.0,125.0,69.0,56.0,0.0,4670.0,78.0,1221.0,195.0,2330.0,297.0,507.0,42.0,,,,,
141902.0,gm. Bodzanów,płocki,mazowieckie,16,15,15,5894.0,6267.0,1563.0,4331.0,2.0,4333.0,8.0,15.0,2.0,0.0,0.0,0.0,0.0,2.0,4333.0,2.0,0.0,4333.0,150.0,91.0,59.0,0.0,4183.0,187.0,851.0,189.0,2047.0,265.0,595.0,49.0,,,,,
141903.0,gm. Brudzeń Duży,płocki,mazowieckie,16,13,13,5888.0,6432.0,1584.0,4304.0,0.0,4304.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4302.0,0.0,0.0,4302.0,92.0,57.0,35.0,0.0,4210.0,95.0,722.0,201.0,2243.0,297.0,607.0,45.0,,,,,
141904.0,gm. Bulkowo,płocki,mazowieckie,16,7,7,4003.0,4243.0,1116.0,2887.0,0.0,2887.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,0.0,2.0,2885.0,77.0,48.0,29.0,0.0,2808.0,72.0,528.0,94.0,1686.0,188.0,218.0,22.0,,,,,
141905.0,gm. Drobin,płocki,mazowieckie,16,6,6,5398.0,5840.0,1706.0,3692.0,1.0,3693.0,6.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,3692.0,1.0,1.0,3691.0,119.0,82.0,37.0,0.0,3572.0,95.0,786.0,167.0,1839.0,252.0,408.0,25.0,,,,,
141906.0,gm. Gąbin,płocki,mazowieckie,16,13,13,7919.0,8689.0,1727.0,6193.0,2.0,6195.0,6.0,50.0,2.0,0.0,0.0,0.0,0.0,2.0,6195.0,2.0,3.0,6192.0,135.0,85.0,50.0,0.0,6057.0,151.0,1029.0,256.0,3082.0,395.0,1065.0,79.0,,,,,
141907.0,gm. Łąck,płocki,mazowieckie,16,7,7,4044.0,4296.0,840.0,3201.0,2.0,3203.0,2.0,47.0,2.0,2.0,0.0,0.0,0.0,0.0,3203.0,0.0,1.0,3202.0,65.0,34.0,31.0,0.0,3137.0,77.0,568.0,188.0,1386.0,220.0,648.0,50.0,,,,,
141908.0,gm. Mała Wieś,płocki,mazowieckie,16,6,6,4291.0,4535.0,1302.0,2989.0,0.0,2989.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2988.0,0.0,0.0,2988.0,105.0,63.0,42.0,0.0,2883.0,118.0,550.0,132.0,1554.0,194.0,310.0,25.0,,,,,
141909.0,gm. Nowy Duninów,płocki,mazowieckie,16,5,5,2792.0,3104.0,625.0,2167.0,0.0,2167.0,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2167.0,0.0,0.0,2167.0,55.0,35.0,20.0,0.0,2112.0,30.0,386.0,111.0,1123.0,133.0,307.0,22.0,,,,,
141910.0,gm. Radzanowo,płocki,mazowieckie,16,7,7,6097.0,6549.0,1270.0,4827.0,1.0,4828.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4827.0,0.0,1.0,4826.0,111.0,65.0,46.0,0.0,4715.0,103.0,1376.0,289.0,1913.0,283.0,722.0,29.0,,,,,
141911.0,gm. Słubice,płocki,mazowieckie,16,6,6,3094.0,3402.0,760.0,2334.0,0.0,2334.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.0,0.0,0.0,2334.0,60.0,35.0,25.0,0.0,2274.0,46.0,396.0,77.0,1343.0,147.0,221.0,44.0,,,,,
141912.0,gm. Słupno,płocki,mazowieckie,16,14,14,6123.0,6473.0,860.0,5263.0,0.0,5263.0,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,5263.0,0.0,2.0,5261.0,68.0,41.0,27.0,0.0,5193.0,79.0,1202.0,356.0,1621.0,330.0,1533.0,72.0,,,,,
141913.0,gm. Stara Biała,płocki,mazowieckie,16,12,12,8682.0,9059.0,1886.0,6794.0,3.0,6797.0,5.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,6790.0,1.0,1.0,6789.0,124.0,70.0,54.0,0.0,6665.0,135.0,1326.0,468.0,2768.0,494.0,1397.0,77.0,,,,,
141914.0,gm. Staroźreby,płocki,mazowieckie,16,8,8,5104.0,5562.0,1466.0,3638.0,0.0,3638.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3638.0,0.0,1.0,3637.0,134.0,89.0,45.0,0.0,3503.0,83.0,715.0,167.0,1880.0,234.0,392.0,32.0,,,,,
141915.0,gm. Wyszogród,płocki,mazowieckie,16,10,10,3873.0,4301.0,908.0,2965.0,5.0,2970.0,11.0,44.0,5.0,1.0,0.0,0.0,0.0,4.0,2969.0,4.0,0.0,2969.0,87.0,53.0,34.0,0.0,2882.0,136.0,605.0,135.0,1373.0,195.0,389.0,49.0,,,,,
142001.0,m. Płońsk,płoński,mazowieckie,16,21,21,15455.0,16572.0,3058.0,12397.0,3.0,12400.0,7.0,234.0,3.0,1.0,0.0,0.0,0.0,2.0,12394.0,2.0,4.0,12390.0,221.0,123.0,98.0,0.0,12169.0,310.0,1848.0,925.0,4246.0,680.0,3927.0,233.0,,,,,
142002.0,m. Raciąż,płoński,mazowieckie,16,3,3,3129.0,3263.0,869.0,2259.0,2.0,2261.0,18.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0,2260.0,2.0,0.0,2260.0,61.0,45.0,16.0,0.0,2199.0,33.0,228.0,93.0,1079.0,118.0,631.0,17.0,,,,,
142003.0,gm. Baboszewo,płoński,mazowieckie,16,6,6,5625.0,6002.0,1751.0,3874.0,0.0,3874.0,12.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3874.0,0.0,2.0,3872.0,95.0,46.0,49.0,0.0,3777.0,69.0,587.0,176.0,2055.0,232.0,606.0,52.0,,,,,
142004.0,gm. Czerwińsk nad Wisłą,płoński,mazowieckie,16,5,5,5413.0,5893.0,1734.0,3678.0,1.0,3679.0,4.0,86.0,1.0,0.0,0.0,0.0,0.0,1.0,3678.0,1.0,1.0,3677.0,116.0,67.0,49.0,0.0,3561.0,172.0,479.0,186.0,1920.0,274.0,475.0,55.0,,,,,
142005.0,gm. Dzierzążnia,płoński,mazowieckie,16,3,3,2586.0,2814.0,667.0,1919.0,0.0,1919.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,0.0,0.0,1918.0,59.0,38.0,21.0,0.0,1859.0,58.0,279.0,97.0,1064.0,123.0,191.0,47.0,,,,,
142006.0,gm. Joniec,płoński,mazowieckie,16,4,4,2330.0,2606.0,304.0,2026.0,0.0,2026.0,5.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.0,0.0,0.0,2026.0,68.0,36.0,32.0,0.0,1958.0,34.0,310.0,92.0,845.0,149.0,505.0,23.0,,,,,
142007.0,gm. Naruszewo,płoński,mazowieckie,16,7,7,4457.0,4833.0,1429.0,3029.0,0.0,3029.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3029.0,0.0,0.0,3029.0,103.0,55.0,48.0,0.0,2926.0,65.0,480.0,116.0,1651.0,199.0,359.0,56.0,,,,,
142008.0,gm. Nowe Miasto,płoński,mazowieckie,16,6,6,3385.0,3798.0,594.0,2792.0,0.0,2792.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.0,0.0,0.0,2792.0,81.0,48.0,33.0,0.0,2711.0,43.0,422.0,155.0,1385.0,141.0,533.0,32.0,,,,,
142009.0,gm. Płońsk,płoński,mazowieckie,16,9,9,5826.0,6352.0,1487.0,4339.0,0.0,4339.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,4338.0,0.0,0.0,4338.0,109.0,79.0,30.0,0.0,4229.0,104.0,753.0,249.0,1824.0,359.0,853.0,87.0,,,,,
142010.0,gm. Raciąż,płoński,mazowieckie,16,6,6,6143.0,6622.0,2176.0,3968.0,3.0,3971.0,13.0,59.0,3.0,0.0,0.0,0.0,0.0,3.0,3971.0,3.0,0.0,3971.0,144.0,80.0,64.0,0.0,3827.0,67.0,460.0,143.0,2374.0,290.0,429.0,64.0,,,,,
142011.0,gm. Sochocin,płoński,mazowieckie,16,5,5,4128.0,4584.0,911.0,3216.0,0.0,3216.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,3217.0,0.0,0.0,3217.0,68.0,43.0,25.0,0.0,3149.0,51.0,720.0,140.0,1496.0,231.0,470.0,41.0,,,,,
142012.0,gm. Załuski,płoński,mazowieckie,16,7,7,4035.0,4618.0,925.0,3110.0,0.0,3110.0,3.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.0,0.0,0.0,3111.0,100.0,54.0,46.0,0.0,3011.0,61.0,495.0,213.0,1435.0,224.0,544.0,39.0,,,,,
142101.0,m. Piastów,pruszkowski,mazowieckie,20,10,10,16269.0,17162.0,1905.0,14374.0,10.0,14384.0,23.0,334.0,10.0,2.0,0.0,0.0,0.0,8.0,14363.0,8.0,3.0,14360.0,107.0,46.0,61.0,0.0,14253.0,300.0,2211.0,1064.0,4408.0,951.0,5106.0,213.0,,,,,
142102.0,m. Pruszków,pruszkowski,mazowieckie,20,30,30,43931.0,47085.0,5001.0,38917.0,17.0,38934.0,41.0,1229.0,14.0,1.0,0.0,0.0,0.0,13.0,38933.0,13.0,30.0,38903.0,317.0,131.0,186.0,0.0,38586.0,746.0,6419.0,2935.0,10490.0,2525.0,14992.0,479.0,,,,,
142103.0,gm. Brwinów,pruszkowski,mazowieckie,20,16,16,19875.0,20576.0,2412.0,17462.0,29.0,17491.0,40.0,444.0,27.0,0.0,0.0,0.0,0.0,27.0,17491.0,27.0,8.0,17483.0,131.0,60.0,71.0,0.0,17352.0,325.0,2926.0,1332.0,4771.0,1048.0,6684.0,266.0,,,,,
142104.0,gm. Michałowice,pruszkowski,mazowieckie,20,12,12,14087.0,14472.0,1237.0,12848.0,3.0,12851.0,21.0,321.0,3.0,0.0,0.0,0.0,0.0,3.0,12854.0,3.0,7.0,12847.0,101.0,38.0,63.0,0.0,12746.0,236.0,1985.0,994.0,3051.0,770.0,5538.0,172.0,,,,,
142105.0,gm. Nadarzyn,pruszkowski,mazowieckie,20,9,9,12194.0,12611.0,1413.0,10778.0,31.0,10809.0,8.0,279.0,31.0,1.0,1.0,0.0,1.0,28.0,10807.0,28.0,4.0,10803.0,119.0,59.0,60.0,0.0,10684.0,228.0,1856.0,749.0,2700.0,746.0,4258.0,147.0,,,,,
142106.0,gm. Raszyn,pruszkowski,mazowieckie,20,15,15,16151.0,17506.0,1315.0,14834.0,5.0,14839.0,30.0,421.0,5.0,1.0,0.0,0.0,1.0,4.0,14832.0,4.0,7.0,14825.0,173.0,73.0,100.0,0.0,14652.0,299.0,2186.0,892.0,4789.0,960.0,5280.0,246.0,,,,,
142201.0,m. Przasnysz,przasnyski,mazowieckie,16,15,15,12168.0,12513.0,2955.0,9213.0,4.0,9217.0,20.0,103.0,4.0,0.0,0.0,0.0,0.0,4.0,9216.0,4.0,2.0,9214.0,155.0,94.0,61.0,0.0,9059.0,138.0,1097.0,500.0,3672.0,558.0,2959.0,135.0,,,,,
142202.0,gm. Chorzele,przasnyski,mazowieckie,16,13,13,6954.0,7384.0,2237.0,4716.0,2.0,4718.0,18.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,4716.0,0.0,1.0,4715.0,171.0,108.0,63.0,0.0,4544.0,82.0,761.0,174.0,2530.0,369.0,532.0,96.0,,,,,
142203.0,gm. Czernice Borowe,przasnyski,mazowieckie,16,6,6,2613.0,2825.0,524.0,2089.0,0.0,2089.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,0.0,0.0,2089.0,42.0,19.0,23.0,0.0,2047.0,29.0,295.0,57.0,1287.0,153.0,191.0,35.0,,,,,
142204.0,gm. Jednorożec,przasnyski,mazowieckie,16,10,10,4948.0,5280.0,1644.0,3297.0,1.0,3298.0,3.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,3305.0,1.0,0.0,3305.0,98.0,67.0,31.0,0.0,3207.0,72.0,488.0,280.0,1684.0,269.0,357.0,57.0,,,,,
142205.0,gm. Krasne,przasnyski,mazowieckie,16,3,3,2457.0,2692.0,630.0,1827.0,0.0,1827.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,0.0,0.0,1827.0,44.0,22.0,22.0,0.0,1783.0,29.0,254.0,74.0,1097.0,136.0,174.0,19.0,,,,,
142206.0,gm. Krzynowłoga Mała,przasnyski,mazowieckie,16,7,7,2440.0,2608.0,592.0,1848.0,1.0,1849.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1848.0,0.0,0.0,1848.0,35.0,19.0,16.0,0.0,1813.0,35.0,240.0,47.0,1169.0,154.0,118.0,50.0,,,,,
142207.0,gm. Przasnysz,przasnyski,mazowieckie,16,9,9,4996.0,5412.0,1394.0,3602.0,0.0,3602.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3601.0,0.0,0.0,3601.0,76.0,35.0,41.0,0.0,3525.0,55.0,425.0,128.0,2118.0,261.0,476.0,62.0,,,,,
142301.0,gm. Borkowice,przysuski,mazowieckie,17,8,8,3089.0,3290.0,748.0,2341.0,0.0,2341.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.0,0.0,0.0,2341.0,67.0,44.0,23.0,0.0,2274.0,32.0,405.0,119.0,1298.0,148.0,238.0,31.0,3.0,,,,
142302.0,gm. Gielniów,przysuski,mazowieckie,17,6,6,3283.0,3519.0,725.0,2558.0,5.0,2563.0,10.0,35.0,5.0,0.0,0.0,0.0,0.0,5.0,2563.0,5.0,0.0,2563.0,72.0,41.0,31.0,0.0,2491.0,30.0,315.0,81.0,1723.0,144.0,165.0,28.0,5.0,,,,
142303.0,gm. Klwów,przysuski,mazowieckie,17,8,8,2654.0,2555.0,339.0,2315.0,0.0,2315.0,37.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,0.0,0.0,2314.0,67.0,40.0,27.0,0.0,2247.0,13.0,532.0,42.0,1370.0,145.0,104.0,33.0,8.0,,,,
